segment_id,country_code,road_class_norm,land_use,speed_limit,ss_limit,speed_85th,pct_over_limit,sss,sss_band,anomaly_score,anomaly_flag,anomaly_reason
TR/12558,MH,trunk,rural,55.0,90.0,53.5,0.15152457996266336,21.22821297677791,Acceptable,43.24499926644554,True,AI flags: ss limit; ss gap; posted limit far above Safe System standard
PR/1082,MH,primary,rural,40.0,60.0,58.5,0.76320959569848,33.744040303030296,Acceptable,42.9331582593895,True,AI flags: ss gap; pct over limit; large gap between F85 speed and posted limit
TR/11017,MH,trunk,rural,30.0,90.0,82.7,0.0,47.616821333333334,Moderate,83.16479182803586,True,AI flags: large gap between F85 speed and posted limit; ss limit; ss gap
TR/12165,MH,trunk,rural,50.0,90.0,76.0,0.8333300196830825,44.514229487475795,Moderate,41.520514489898005,True,AI flags: ss limit; ss gap; pct over limit
TR/11108,MH,trunk,rural,40.0,90.0,103.0,0.5534383078730905,46.06126577777778,Moderate,74.59563458376442,True,AI flags: large gap between F85 speed and posted limit; ss limit; ss gap
TR/12532,MH,trunk,rural,55.0,90.0,47.5,0.01959671419477063,21.237666576028893,Acceptable,47.326311410173346,True,AI flags: ss limit; ss gap; posted limit far above Safe System standard
TR/13250,MH,trunk,rural,55.0,90.0,89.5,1.0,43.72793244444445,Moderate,47.045256824117935,True,AI flags: ss limit; ss gap; pct over limit
TR/12568,MH,trunk,rural,55.0,90.0,70.5,0.6825270727934105,27.80496369444444,Acceptable,38.5261560105491,True,AI flags: ss limit; ss gap; posted limit far above Safe System standard
PR/3626,MH,primary,urban,40.0,50.0,33.0,0.06745595258629221,28.379485680000002,Acceptable,40.58201314563832,True,AI flags: speed 85th; speed limit; ss gap
PR/3405,MH,primary,urban,45.0,50.0,29.0,0.0,28.379485680000002,Acceptable,41.33484424143735,True,AI flags: drivers operating far above posted limit; speed 85th; median speed
TR/12898,MH,trunk,rural,50.0,90.0,86.5,0.943896569622045,44.50571022222222,Moderate,50.382186151246934,True,AI flags: ss limit; ss gap; large gap between F85 speed and posted limit
TR/11639,MH,trunk,rural,30.0,90.0,61.869565217391305,0.3580354526606134,47.616821333333334,Moderate,63.41156095664835,True,AI flags: large gap between F85 speed and posted limit; ss limit; ss gap
MO/138,MH,motorway,urban,55.0,80.0,74.75,0.694013348270162,51.472099564090904,Moderate,49.63384708309082,True,AI flags: road class inconsistent with observed speeds; ss limit; ss gap
TR/11472,MH,trunk,rural,55.0,90.0,54.0,0.15172170822866246,21.227932444444445,Acceptable,46.76752010634903,True,AI flags: ss limit; ss gap; posted limit far above Safe System standard
PR/1823,MH,primary,rural,55.0,60.0,87.0,1.0,42.209759999999996,Moderate,41.13692421800199,True,AI flags: pct over limit; large gap between F85 speed and posted limit; median speed significantly above posted limit
TR/13365,MH,trunk,rural,55.0,90.0,35.5,0.0,21.232200623072007,Acceptable,57.717370392394805,True,AI flags: ss limit; ss gap; drivers operating far above posted limit
